pdb_id,chain_auth,chain_asym,label,description
4OZI,F,F,TCR_BETA,"T-cell receptor, s2, beta chain"
4OZI,J,J,PEPTIDE,deamidated Gliadin-alpha1 peptide
4OZI,I,I,PEPTIDE,deamidated Gliadin-alpha1 peptide
4P4K,H,H,TCR_BETA,hTCRav22 beta chain
4P4K,D,D,TCR_BETA,hTCRav22 beta chain
4P4K,G,G,TCR_ALPHA,hTCRav22 alpha chain
4P4K,C,C,TCR_ALPHA,hTCRav22 alpha chain
4P4K,F,F,MHC,"mim2 peptide,HLA class II histocompatibility antigen, DP beta 1 chain"
4P4K,B,B,MHC,"mim2 peptide,HLA class II histocompatibility antigen, DP beta 1 chain"
4P4K,A,A,MHC,"HLA class II histocompatibility antigen, DP alpha 1 chain"
4P4K,E,E,MHC,"HLA class II histocompatibility antigen, DP alpha 1 chain"
4Y19,E,E,TCR_BETA,FS18_beta
4Y19,D,D,TCR_ALPHA,FS18_alpha
4Y19,C,C,PEPTIDE,Insulin
4Y19,B,B,MHC,"HLA class II histocompatibility antigen, DRB1-4 beta chain"
4Y19,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
4Y1A,E,E,TCR_BETA,FS17_beta
4Y1A,D,D,TCR_ALPHA,FS17_alpha
4Y1A,C,C,PEPTIDE,Insulin
4Y1A,B,B,MHC,"HLA class II histocompatibility antigen, DRB1-4 beta chain"
4Y1A,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
4Z7U,J,J,PEPTIDE,deamidated DQ8-glia-alpha1 peptide
4Z7U,I,I,PEPTIDE,deamidated DQ8-glia-alpha1 peptide
4Z7U,H,H,TCR_BETA,"T-CELL RECEPTOR, S13 BETA CHAIN"
4Z7U,F,F,TCR_BETA,"T-CELL RECEPTOR, S13 BETA CHAIN"
4Z7U,G,G,TCR_ALPHA,"T-CELL RECEPTOR, S13 ALPHA CHAIN"
4Z7U,E,E,TCR_ALPHA,"T-CELL RECEPTOR, S13 ALPHA CHAIN"
4Z7U,D,D,MHC,MHC class II HLA-DQ-beta-1
4Z7U,B,B,MHC,MHC class II HLA-DQ-beta-1
4Z7U,C,C,MHC,MHC class II HLA-DQ-alpha chain
4Z7U,A,A,MHC,MHC class II HLA-DQ-alpha chain
4Z7V,J,J,PEPTIDE,deamidated DQ8-glia-alpha1 peptide
4Z7V,I,I,PEPTIDE,deamidated DQ8-glia-alpha1 peptide
4Z7V,H,H,TCR_BETA,"T-CELL RECEPTOR, L3-12 BETA CHAIN"
4Z7V,F,F,TCR_BETA,"T-CELL RECEPTOR, L3-12 BETA CHAIN"
4Z7V,G,G,TCR_ALPHA,"T-CELL RECEPTOR, L3-12 ALPHA CHAIN"
4Z7V,E,E,TCR_ALPHA,"T-CELL RECEPTOR, L3-12 ALPHA CHAIN"
4Z7V,D,D,MHC,MHC class II HLA-DQ-beta-1
4Z7V,B,B,MHC,MHC class II HLA-DQ-beta-1
4Z7V,C,C,MHC,MHC class II HLA-DQ-alpha chain
4Z7V,A,A,MHC,MHC class II HLA-DQ-alpha chain
4Z7W,J,J,PEPTIDE,DQ8-glia-alpha1
4Z7W,I,I,PEPTIDE,DQ8-glia-alpha1
4Z7W,H,H,TCR_BETA,"T-CELL RECEPTOR, T316 BETA CHAIN"
4Z7W,F,F,TCR_BETA,"T-CELL RECEPTOR, T316 BETA CHAIN"
4Z7W,G,G,TCR_ALPHA,"T-CELL RECEPTOR, T316 ALPHA CHAIN"
4Z7W,E,E,TCR_ALPHA,"T-CELL RECEPTOR, T316 ALPHA CHAIN"
4Z7W,D,D,MHC,MHC class II HLA-DQ-beta-1
4Z7W,B,B,MHC,MHC class II HLA-DQ-beta-1
4Z7W,C,C,MHC,MHC class II HLA-DQ-alpha chain
4Z7W,A,A,MHC,MHC class II HLA-DQ-alpha chain
5KS9,J,J,PEPTIDE,DQ8-glia-alpha1 peptide
5KS9,I,I,PEPTIDE,DQ8-glia-alpha1 peptide
5KS9,H,H,TCR_BETA,Bel502 TCR beta TRBV9*01
5KS9,F,F,TCR_BETA,Bel502 TCR beta TRBV9*01
5KS9,G,G,TCR_ALPHA,Bel502 TCR alpha TRAV20*01
5KS9,E,E,TCR_ALPHA,Bel502 TCR alpha TRAV20*01
5KS9,B,B,MHC,"HLA class II histocompatibility antigen, DQ beta 1 chain"
5KS9,D,D,MHC,"HLA class II histocompatibility antigen, DQ beta 1 chain"
5KS9,C,C,MHC,"HLA class II histocompatibility antigen, DQ alpha 1 chain"
5KS9,A,A,MHC,"HLA class II histocompatibility antigen, DQ alpha 1 chain"
5KSA,C,C,TCR_ALPHA,Bel602 alpha TRAV20*01
5KSA,J,E,PEPTIDE,DQ8.5-glia-gamma1 peptide
5KSA,D,D,TCR_BETA,Bel602 beta TRBV9*01
5KSA,B,B,MHC,"HLA class II histocompatibility antigen, DQ beta 1 chain"
5KSA,A,A,MHC,"HLA class II histocompatibility antigen, DQ alpha 1 chain"
5KSB,G,G,TCR_ALPHA,T15 TCR alpha TRAV20*02
5KSB,E,E,TCR_ALPHA,T15 TCR alpha TRAV20*02
5KSB,J,J,PEPTIDE,DQ8.5-glia-gamma1 peptide
5KSB,I,I,PEPTIDE,DQ8.5-glia-gamma1 peptide
5KSB,H,H,TCR_BETA,T15 TCR beta TRBV9*01
5KSB,F,F,TCR_BETA,T15 TCR beta TRBV9*01
5KSB,D,D,MHC,"HLA class II histocompatibility antigen, DQ beta 1 chain"
5KSB,B,B,MHC,"HLA class II histocompatibility antigen, DQ beta 1 chain"
5KSB,C,C,MHC,"HLA class II histocompatibility antigen, DQ alpha 1 chain"
5KSB,A,A,MHC,"HLA class II histocompatibility antigen, DQ alpha 1 chain"
6CQL,D,D,TCR_ALPHA,F24 alpha chain
